序号,中文全称,英文全称,金融许可证机构编码,机构类型,简称
72,湖州银行股份有限公司,"BANK OF HUZHOU CO.,LTD",B0155H233050001,城市商业银行,湖州银行
73,嘉兴银行股份有限公司,"BANK OF JIAXING CO.,LTD",B0154H233040001,城市商业银行,嘉兴银行
74,金华银行股份有限公司,"BANK OF JINHUA CO.,LTD",B0157H233070001,城市商业银行,金华银行
75,绍兴银行股份有限公司,"BANK OF SHAOXING CO.,LTD",B0156H233060001,城市商业银行,绍兴银行
76,台州银行股份有限公司,"BANK OF TAIZHOU CO.,LTD",B0159H233100001,城市商业银行,台州银行
77,温州银行股份有限公司,"BANK OF WENZHOU CO.,LTD",B0153H233030001,城市商业银行,温州银行
78,浙江稠州商业银行股份有限公司,"ZHE JIANG CHOU ZHOU COMMERCIAL BANKCO.,LTD",B0158H233070001,城市商业银行,浙江稠州商业银行
79,浙江民泰商业银行股份有限公司,"ZHEJIANG MINTAI COMMERCIAL BANK CO.,LTD",B0161H233100001,城市商业银行,浙江民泰商业银行
80,浙江泰隆商业银行股份有限公司,"ZHEJIANG TAILONG COMMERCIAL BANKCO.,LTD",B0160H233100001,城市商业银行,浙江泰隆商业银行
81,徽商银行股份有限公司,HUISHANG BANK CORPORATION LIMITED,B0162H234010001,城市商业银行,徽商银行
82,福建海峡银行股份有限公司,"FUJIAN HAIXIA BANK CO.,LTD",B0163H235010001,城市商业银行,福建海峡银行
83,泉州银行股份有限公司,"Bank of Quanzhou Co.,LTD",B0271H335050001,城市商业银行,泉州银行
84,江西银行股份有限公司,"JIANGXI BANK CO.,LTD",B0792H236010001,城市商业银行,江西银行
85,赣州银行股份有限公司,"BANK OF GANZHOU CO.,LTD",B0353H236070001,城市商业银行,赣州银行
86,九江银行股份有限公司,"BANK OF JIUJIANG CO.,LTD",B0348H236040001,城市商业银行,九江银行
87,上饶银行股份有限公司,"BANK OF SHANGRAO CO.,LTD",B1030H236110001,城市商业银行,上饶银行
88,齐鲁银行股份有限公司,"QILU BANK CO.,LTD.",B0169H237010001,城市商业银行,齐鲁银行
89,德州银行股份有限公司,"DEZHOU BANK CO.,LTD.",B0180H237140001,城市商业银行,德州银行
90,东营银行股份有限公司,"DONGYING BANK CO.,LTD.",B0172H237050001,城市商业银行,东营银行
91,济宁银行股份有限公司,"BANK OF JINING CO.,LTD.",B0175H237080001,城市商业银行,济宁银行
92,莱商银行股份有限公司,"LAISHANG BANK CO.,LTD.",B0325H237120001,城市商业银行,莱商银行
93,临商银行股份有限公司,"LINSHANG BANK CO.,LTD.",B0179H237130001,城市商业银行,临商银行
94,齐商银行股份有限公司,"QI SHANG BANK CO.,LTD.",B0171H237030001,城市商业银行,齐商银行
95,日照银行股份有限公司,"BANK OF RIZHAO CO.,LTD.",B0177H237110001,城市商业银行,日照银行
96,泰安银行股份有限公司,"BANK OF TAIAN CO.,LTD.",B0297H237090001,城市商业银行,泰安银行
97,威海市商业银行股份有限公司,"WEIHAI CITY COMMERCIAL BANK CO.,LTD.",B0176H237100001,城市商业银行,威海市商业银行
98,潍坊银行股份有限公司,"BANK OF WEIFANG CO.,LTD.",B0174H237070001,城市商业银行,潍坊银行
99,烟台银行股份有限公司,"YANTAI BANK CO.,LTD.",B0173H237060001,城市商业银行,烟台银行
100,枣庄银行股份有限公司,"ZAOZHUANG BANK CO.,LTD.",B0290H237040001,城市商业银行,枣庄银行
101,中原银行股份有限公司,"ZHONGYUAN BANK CO., LTD",B0615H241010001,城市商业银行,中原银行
102,郑州银行股份有限公司,"BANK OF ZHENGZHOU CO.,LTD",B1036H241010001,城市商业银行,郑州银行
103,平顶山银行股份有限公司,"BANK OF PINGDINGSHAN CO.,LTD",B1116H241040001,城市商业银行,平顶山银行
104,洛阳银行股份有限公司,"BANK OF LUOYANG CO.,LTD",B0183H241030001,城市商业银行,洛阳银行
105,焦作中旅银行股份有限公司,"Bank of China Travel Service CO., Ltd.Jiaozuo",B0732H341080001,城市商业银行,焦作中旅银行
106,华融湘江银行股份有限公司,HUARONG XIANGJIANG BANK CORPORATIONLIMITED,B1099H243010001,城市商业银行,华融湘江银行
107,长沙银行股份有限公司,"BANK OF CHANGSHA CO.,LTD",B0192H243010001,城市商业银行,长沙银行
108,汉口银行股份有限公司,"HANKOU BANK CO.,LTD",B0187H242010002,城市商业银行,汉口银行
109,湖北银行股份有限公司,"HUBEI BANK CO.,LTD",B1151H242010001,城市商业银行,湖北银行
110,广州银行股份有限公司,"BANK OF GUANGZHOU CO.,LTD",B1041H244010001,城市商业银行,广州银行
111,东莞银行股份有限公司,"BANK OF DONGGUAN CO.,LTD.",B0201H244190001,城市商业银行,东莞银行
